City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,ushuaia,-54.8,-68.3,31.658000000000005,80,0,1.54,AR,1716786224
67,venezuela,8.0,-66.0,79.39400000000008,85,100,2.95,VE,1716786208
68,new norfolk,-42.7826,147.0587,62.096000000000046,57,9,2.75,AU,1716786382
69,lebu,-37.6167,-73.65,51.38600000000007,83,99,2.25,CL,1716786099
70,charlottetown,46.2352,-63.1267,46.18399999999999,98,40,0.45,CA,1716786280
71,geraldton,-28.7667,114.6,77.41400000000003,44,27,1.54,AU,1716786383
72,dellys,36.9172,3.9131,71.16800000000009,49,17,2.82,DZ,1716786383
73,vazante,-17.9869,-46.9078,64.27400000000002,66,2,1.14,BR,1716786172
74,invercargill,-46.4,168.35,47.01200000000006,89,100,5.36,NZ,1716786383
75,ilulissat,69.2167,-51.1,30.218000000000085,69,75,1.03,GL,1716786383
76,saipan,15.1355,145.701,92.10200000000007,55,20,6.69,MP,1716786383
77,lodeynoye pole,60.726,33.5531,58.78399999999999,45,88,1.91,RU,1716786383
78,gvardeysk,54.6477,21.0651,60.854000000000056,77,2,3.77,RU,1716786384
79,galliano,29.4422,-90.2992,82.4,78,100,4.12,US,1716786354
80,bad bevensen,53.0833,10.5833,60.188000000000045,92,100,2.67,DE,1716786384
81,badger,64.8,-147.5333,59.25200000000008,64,20,1.54,US,1716786384
82,kalyandurg,14.5452,77.1055,85.33399999999999,57,82,11.2,IN,1716786384
83,kourou,5.1552,-52.6478,77.05400000000006,94,60,2.4,GF,1716786384
84,baturaja,-4.1333,104.1667,88.142,64,61,1.44,ID,1716786384
85,castillos,-34.1667,-53.8333,47.31800000000008,92,98,2.0,UY,1716786385
86,nagqu,31.5,92.0,56.570000000000064,47,65,8.51,CN,1716786385
87,georgetown,5.4112,100.3354,91.34600000000005,64,20,4.12,MY,1716786302
88,callao,-12.0667,-77.15,65.71400000000003,82,100,1.54,PE,1716786369
89,tiksi,71.6872,128.8694,31.964000000000034,68,82,1.55,RU,1716786385
90,bonthe,7.5264,-12.505,77.684,91,100,2.77,SL,1716786385
91,cannonvale,-20.2833,148.7,74.58800000000005,73,100,7.22,AU,1716786385
92,tsetserleg,47.475,101.4542,70.26800000000009,33,100,3.16,MN,1716786386
93,lihue,21.9789,-159.3672,79.84400000000008,79,100,4.63,US,1716786386
94,la sarre,48.8002,-79.1996,56.67800000000007,75,100,2.55,CA,1716786228
95,minot,48.2325,-101.2963,53.708000000000006,93,75,2.57,US,1716786240
96,pisco,-13.7,-76.2167,62.65400000000005,88,75,1.54,PE,1716786386
97,bilibino,68.0546,166.4372,54.91400000000003,43,3,3.05,RU,1716786386
98,preveza,38.95,20.75,67.91000000000008,68,75,3.6,GR,1716786386
99,kone,-21.0595,164.8658,75.70400000000005,51,98,4.44,NC,1716786387
100,holualoa,19.6228,-155.9522,75.03800000000004,98,100,3.09,US,1716786387
101,nizhneangarsk,55.7833,109.55,51.008,41,8,1.79,RU,1716786387
102,olonkinbyen,70.9221,-8.7187,31.49600000000005,97,100,3.83,SJ,1716786387
103,nar'yan-mar,67.6713,53.087,30.11000000000008,79,100,8.94,RU,1716786387
104,happy valley-goose bay,53.3168,-60.3315,37.70600000000003,87,20,2.06,CA,1716786355
105,mount pearl,47.5166,-52.7813,37.148000000000025,91,75,4.63,CA,1716786387
106,buriya,30.15,77.35,109.94000000000003,9,0,0.84,IN,1716786387
107,puerto ayora,-0.7393,-90.3518,72.96800000000009,89,95,2.92,EC,1716786388
108,kingscliff,-28.2667,153.5667,72.77000000000007,60,0,4.63,AU,1716786388
109,khandyga,62.6667,135.6,69.0260000000001,26,100,1.15,RU,1716786388
110,tromso,69.6496,18.957,50.018000000000086,50,0,4.12,NO,1716786388
111,talnakh,69.4865,88.3972,28.202000000000076,98,97,2.96,RU,1716786220
112,keflavik,64.0049,-22.5624,49.91000000000008,93,75,6.69,IS,1716786388
113,enewetak,11.3474,162.3373,82.61600000000001,82,74,7.85,MH,1716786388
114,maumere,-8.6199,122.2111,85.46000000000008,67,62,3.43,ID,1716786389
115,as sulaymaniyah,35.5611,45.4375,75.63200000000002,33,0,1.03,IQ,1716786389
116,kapuskasing,49.4169,-82.4331,55.49000000000002,94,100,2.06,CA,1716786302
117,duba,27.3513,35.6901,88.25,31,0,3.16,SA,1716786389
